comment_author,comment_likes,comment_text,video_id
@sebastianxavier9068,31,"I can't get over how cleverly this captures anxiety. From the actors in a loop inside the house, to breaking out of the loop and anxiety creeping back in, to the changing angles as we start to realise the loop.... there are so many layers and visual metaphors. Absolutely brilliant.",riCP9x31Kuk
@JRonGGG,7,Worst annoying song ever ffs,riCP9x31Kuk
@HiImAk,5,dogshit,riCP9x31Kuk
@erzya4life,3,HOW IS ANYONE LIKING THIS?????,riCP9x31Kuk
@DeVoIta,3,Found this song just to say its fuckin garbage,riCP9x31Kuk
@Syckodog,3,hate this song soo much. a cheap knock-off of an amazing song,riCP9x31Kuk
@bigheadsuperman1406,2,delete this shi 💔😩,riCP9x31Kuk
@Temblizz,2,I just came here to dislike. I am tired of hearing this shit song in every short.,riCP9x31Kuk
@Coditattoos_,2,I came here to express how annoying this song is,riCP9x31Kuk
@OffTopicShow,2,This song is 🗑️,riCP9x31Kuk
@49ofem,2,Hits best on 0% volume,riCP9x31Kuk
@Iamgoingtosea,2,THIS SHIT IS ASS🥀,riCP9x31Kuk
@Dani.G_German,2,Downgrade from the original,riCP9x31Kuk
@armani0504,2,This video just made me love the song more all over again 😂❤❤😍😍🤩🔥🔥💯💯💯❤❤❤,riCP9x31Kuk
@HiImAk,2,"how dare youtube hide this from me, i havent left a hate comment on this video yet",riCP9x31Kuk
@donniebrasco881,1,One of the most annoying song ever,riCP9x31Kuk
@ĐứcMinh-n2c,1,"The symbolism of the a fire next to a fireman who is ignoring it. The way it feels when you have to handle issues alone knowing there's people around who can help, they just don't care.",riCP9x31Kuk
@cameronrodriguezinc,1,Full on minstrel show.. 🤦🏽‍♂️ Black women are so predictable… SMH,riCP9x31Kuk
@Keano24739,1,Fuck your music its starting to get irritating and stop being a copycat doshbag,riCP9x31Kuk
@Achy09-Kuze,1,"Somebody that i used to know fits with this, Your right.",riCP9x31Kuk
@Vida_Houston_RealEstate,44,Why am I crying? this is beautiful,sNY_2TEmzho
@PrettyInAnyColor007,26,I watch this video at least once a day. I love everything about it and the homage to Luther is amazing… true art😍,sNY_2TEmzho
@aqustks,9,15.1 and rising!,sNY_2TEmzho
@XXXTENTACIONTHEGOAT,9,15 million views ❤🎉😮,sNY_2TEmzho
@Dami424,8,Every scene could be a fine art photograph,sNY_2TEmzho
@KristiLattimore,7,Love how she looks like Whitney ❤️❤️,sNY_2TEmzho
@ryandavis301,6,Just saw Kendrick and SZA in Minneapolis last weekend. Best night of my life,sNY_2TEmzho
@izraeldominguez,6,This song skating is MAGICAL,sNY_2TEmzho
@ancientDna1979,6,Black love is so sexy😏 ✊🏾B🖤1ST❤️💚💛,sNY_2TEmzho
@MandyME-q1i,6,❤,sNY_2TEmzho
@Mr.DiamondMundy,6,🔥🔥🔥Banger🔥🔥🔥,sNY_2TEmzho
@JaydenBell-k6p,6,🔥 fire,sNY_2TEmzho
@dianev6180,6,award winning and evocative. so many layers,sNY_2TEmzho
@thobanintaka5695,5,Very clean video 🔥🔥🔥🐐🏆,sNY_2TEmzho
@ThugLife-b8b,5,Put your headphones for better experience 🎧🔥🎧🎧🎧🔥🔥,sNY_2TEmzho
@RubicelTorres-e6c,5,Saludos desde ciudad del Carmen Campeche México,sNY_2TEmzho
@AshleyGardner-h1e,5,They would make the hottest couple,sNY_2TEmzho
@WittyWook,5,BETTER DAYS COMING FASHO,sNY_2TEmzho
@RaynaTurner-g7p,5,I love you SZA so much,sNY_2TEmzho
@Jayson-Ex,5,We must stay focused brothers,sNY_2TEmzho
@GIVEMEMYWHAWHA,11,Bro these recent movies be turning Jack Black into a meme🗿,41O_MydqxTU
@frogginet5353,3,that blocky chicken looks absolutely delicious though i would gobble that entire thing up within 10 minutes,41O_MydqxTU
@NicolasValentin-h8p,3,"THIS IS NOT KFC, ¡¡¡¡¡ THIS IS SLC!!!!!!!!",41O_MydqxTU
@Forza-13,2,I never in a million years though that jack black and Aquaman would be in a movie together singing about chicken.... We were ment to have flying cars but instead we got this😭😭,41O_MydqxTU
@RaulFlores-Martinez,2,this part was so corny,41O_MydqxTU
@adamk-paxlogan7330,2,THIS IS AN ABSOLUTE BANGER OF A MASTERPIECE OF A SONG FACTS FR YEP INDEED WELL SAID WELL DONE FACTS FR W MOVIE AND W SONG YEP INDEED WELL SAID WELL DONE FACTS FR 🤣😂🗿🔥☕🙏👏👍👌😍🤩🎊🎉❤️,41O_MydqxTU
@SerenneRoundy-f8c,2,0:44  OoH jUiCy,41O_MydqxTU
@andresadventures1161,2,"🟩🟩🟩🟩🟩🟩🟩🟩
🟩🟩🟩🟩🟩🟩🟩🟩
🟩🟩🟩🟩🟩🟩🟩🟩
🟩⬛⬛🟩🟩⬛⬛🟩
🟩🟩🟩⬛⬛🟩🟩🟩
🟩🟩🟩🟩🟩🟩🟩🟩
🟩🟩🟩🟩🟩🟩🟩🟩
⬜⬜⬜⬜⬜⬜⬜⬜
⬜⬜⬛⬜⬜⬛⬜⬜
⬜⬜🟨🟨🟨🟨⬜⬜
⬜⬜🟨🟨🟨🟨⬜⬜
⬜⬜⬜🟥🟥⬜⬜⬜
Chicken Jockyyy",41O_MydqxTU
@DeadlyScorpions,1,Wow pretty awesome in slow motion too 🔥🔥,41O_MydqxTU
@MargieCabacungan-e9h,1,😂hhehje,41O_MydqxTU
@geromegirao8036,1,Dance,41O_MydqxTU
@NancyLazowicki-n6y,1,❤,41O_MydqxTU
@samueldotson8526,1,0:45,41O_MydqxTU
@tacomelonGO,1,I can literally sing without lyrics,41O_MydqxTU
@rajib88,1,https://youtube.com/shorts/-YqJNSFI_aU?feature=shared,41O_MydqxTU
@krstnadothager,1,0:16 you hear that? That’s the sound of siziLiEnE,41O_MydqxTU
@AgmethyazidOsorionavia,1,La gente puso tanto esto que hasta me empezó a gustar,41O_MydqxTU
@vinadyfan,1,I feel like someone is gonna make a phonk out of it,41O_MydqxTU
@LongfieldLongfield,1,Steve’s lava chicken or Alex’s cold steak?,41O_MydqxTU
@EthanAgustin-r9p,1,"L-l-l-l-Lava

Finish it👇",41O_MydqxTU
@juanamariarojasbonachea4437,25,"Fui y voté por la reina, y ahora estoy aquí hasta el amanecer.🌅",RUPOZzXyEe8
@juanamariarojasbonachea4437,20,"Esta canción no es sólo hermosa, sino que su letra es apta para todas las edades.
Imaginen a nuestros niños escuchando la música de la innombrable.",RUPOZzXyEe8
@reynacuevas1565,14,"Va despuntando Yuridia, pero es importante que en segundo lugar quede Angelita la Reyna del Regional Mexicano,se lo merece 🎉❤🎉❤🙏🙏😇😇",RUPOZzXyEe8
@Liport-24,11,Esta rola está tan hermosa q hasta las traumadas están aquí comentando miles de veces pero solo es por venir a escuchar la canción 😂😂😂😂😂😂,RUPOZzXyEe8
@juanamariarojasbonachea4437,11,"El día no me alcanza para reproducir y comentar la cantidad de canciones lindas que tienen los esposos, por eso me quedo aquí, hasta que salga el sol.",RUPOZzXyEe8
@juanamariarojasbonachea4437,9,"Mi niña bella, confía en que Dios estará alzándote. Creo que tus fans somos el instrumento utilizado por el todo poderoso para defenderte de tanta injusticia. 
Mi reina 👸 nos aseguraremos que siempre lleves tu corona 👑 puesta❤",RUPOZzXyEe8
@juanamariarojasbonachea4437,8,"Esta canción no es sólo hermosa, sino que su letra es apta para todas las edades.
Imaginen a nuestros niños escuchando la música de la innombrable.",RUPOZzXyEe8
@ValeriaSaraiStop,8,"Bb te adoro, te quiero y amo tu voz, tus canciones... Al infinito ♾️ y más allá. 😊",RUPOZzXyEe8
@marissaarvelo3510,8,Esta súper esta canción,RUPOZzXyEe8
@AnaSanchez-nw7ri,8,un Temazo gracias angela cancion super Hermosaaaa❤❤❤❤❤❤❤❤,RUPOZzXyEe8
@PetradeDoloresBarrazaFelix,7,CON TODO PARÁ LOS 5 MILLONES,RUPOZzXyEe8
@Liport-24,7,Gracias a todos los haters que dejan múltiples comentarios seguimos en tendencia wohooooo🎉❤🎉❤🎉❤🎉❤🎉❤,RUPOZzXyEe8
@marthaflores7881,7,4 millones 🎉🎉🎉,RUPOZzXyEe8
@juanamariarojasbonachea4437,7,"Angelitos  no nos detengamos , votemos por Ángela Aguilar ❤reproduzcamos y comentemos.",RUPOZzXyEe8
@reynacuevas1565,7,"Acabo de ver las encuestas, vayamos a votar por la Reyna del Regional Angelita ❤",RUPOZzXyEe8
@camilacime3063,6,conoci a Angela Aguilar por la llorona solo esa cancion habia escuchado a raiz de toda la polemica comence a seguirla primero como mi apoyo en contra del bulling y por toda lo malo que han hecho con ella escuche su album bolero y me enamore de su musica de ahi he estado seguiemdo sus colaboraciones y sus covers y me he vuelto fan de ella no cabe duda que cuando no conoces o sabes es fácil criticar o  mal hablar de las personsa pero si la estudias a fondo se darian cuenta que es una chica talentosa enamorada de sus vestidos su porte su elegancia me siento orgullosa de ella de todo lo malo siemore hay cosas buenas y lo bueno es que me tiene de fan nueva,RUPOZzXyEe8
@irmasaenz5979,6,Mis bendiciones para esta pareja hermosa de Dios ❤ y que talento de Ángela ❤❤❤,RUPOZzXyEe8
@Nancylgz,6,"Pero tu y yo🎶 somos la excepción 🎶
 ❤❤❤",RUPOZzXyEe8
@Liport-24,6,Love it love it love it ❤❤❤❤,RUPOZzXyEe8
@KittyKateGamerGirl,5,A reproducirla que lleguemos a los 5 millones❤❤❤🥰,RUPOZzXyEe8
@bigxthaplug,2534,ALL THE WAY ft. Bailey Zimmerman VIDEO OUT NOW‼‼‼Comment your favorite part!,7kyHvPNbugk
@HayleyBaby,5,I love Wallen but so glad to see BigX went with Bailey Zimmerman,7kyHvPNbugk
@beehive2066,1,Tupac then BigX,7kyHvPNbugk
@lancehenry1105,1,That was good. Adding this one to the list.. almost better than nelly and tim with over n over again.,7kyHvPNbugk
@anthonysmart-jb6or,1,This my life fr,7kyHvPNbugk
@RandomStuffAnd_More,1,DONT LET ME DOWN EASY IF U GONNA LEAVE ME LEAVE ME ALL THE WAY🗣️🗣️🗣️🗣️🔥🔥🔥🔥🔥🔥🔥🔥,7kyHvPNbugk
@crystaljmolina,1,BOYYY THAT VOICE KEEP EM COMING BAILY,7kyHvPNbugk
@Brock-u8i,1,Heck yeah this song is fire👻,7kyHvPNbugk
@PatriciaLacruz-d8h,1,Damn bigz that tuff Danm it' hits Mon cool 😎,7kyHvPNbugk
@RSG71,1,Best collab of 2025.,7kyHvPNbugk
@joshuaboehm6419,1,This is way to good! I'm bumping this for awhile!,7kyHvPNbugk
@jamestownsend9420,1,Damn this shit makes me take about my ex!!!😢,7kyHvPNbugk
@tinashegotosa6204,1,like this music,7kyHvPNbugk
@masherita442,1,BigXthaPlug you are bigger than that❤❤🔥🔥🔥🔥🔥,7kyHvPNbugk
@sentinel_sniper2,1,I ain't a rap guy but these country/rap songs hit everytime,7kyHvPNbugk
@JasmineSimpson-z9u,1,Who's here in 2025 let me know ❤❤😊🥰😈💕,7kyHvPNbugk
@ericfields7218,0,"Dear my country music fans!
Kane Brown can't make a living making music, because he can't sing.  Even 3 or 4 years old toddlers can sing way way better than him.   He has no future in music..
Don't ever collaborate with Kane Brown, because he can't sing.  He will ruin your reputation.
Kane Brown can't even sing a kid's lullaby.  That's why nobody wants to collaborate with him except his wife.  Kane Brown is a dead horse so stop the flogging.   He can't even sing DO, RE, MI, FA, SOL, LA, SI, DO in tune.  How does he even manage to stay in music business?",7kyHvPNbugk
@janehall3186,0,"Attention please!  It's very important to read my comments.  
I don't wanna chat with weird looking human beings like Lauren Alaina and her mother.   I mean who the hell is Lauren Alaina?   She's just an American Idol contestant loser in 2011.  Lauren Alaina and her mother posted derogatory/disgusting comments in all American Idol winners' music videos and ruined their music careers permanently.  Just because they both were/are very jealous of their success.  They tried to do that to ""Carrie Underwood"" and ruin her career as well.  She was very lucky that she didn't get bashed by Lauren Alaina and her mother with their multiple google fake accounts..    My comments are facts: Kane Brown sings like a toddler.   He can't sing....////",7kyHvPNbugk
@janehall3186,0,"Attention please!  It's very important to read my comments.  
I don't wanna chat with weird looking human beings like Lauren Alaina and her mother.   I mean who the hell is Lauren Alaina?   She's just an American Idol contestant loser in 2011.  Lauren Alaina and her mother posted derogatory/disgusting comments in all American Idol winners' music videos and ruined their music careers permanently.  Just because they both were/are very jealous of their success.  They tried to do that to ""Carrie Underwood"" and ruin her career as well.  She was very lucky that she didn't get bashed by Lauren Alaina and her mother with their multiple google fake accounts..    My comments are facts: Kane Brown sings like a toddler.   He can't sing....//",7kyHvPNbugk
@janehall3186,0,"Attention please!  It's very important to read my comments.  
I don't wanna chat with weird looking human beings like Lauren Alaina and her mother.   I mean who the hell is Lauren Alaina?   She's just an American Idol contestant loser in 2011.  Lauren Alaina and her mother posted derogatory/disgusting comments in all American Idol winners' music videos and ruined their music careers permanently.  Just because they both were/are very jealous of their success.  They tried to do that to ""Carrie Underwood"" and ruin her career as well.  She was very lucky that she didn't get bashed by Lauren Alaina and her mother with their multiple google fake accounts..    My comments are facts: Kane Brown sings like a toddler.   He can't sing....///",7kyHvPNbugk
@only1cano,3,Jaaybo goin crazy fa Cali no bap 😈🔥🔥🔥,sI0VDF65Cac
@joveynorris2448,3,0:21 this part hard 🔥,sI0VDF65Cac
@Av.4aotn,2,Jaaybo trendy trendy 😭,sI0VDF65Cac
@GhostSlayer666,2,The one thing I hate bout him getting more famous is how fuccccin cringe these new fans are 🤦‍♂️😂,sI0VDF65Cac
@whyhaterc,2,Jaaybo hardest in Stockton,sI0VDF65Cac
@AlbertoPosoñu,1,💯❌️3️⃣5️⃣🏴‍☠️🤞🏽🥷🎯👹🇵🇷,sI0VDF65Cac
@malhunchooo,1,🔥🔥,sI0VDF65Cac
@Youginsgettingnoticed,1,G Block🩸,sI0VDF65Cac
@Youginsgettingnoticed,1,G Block🩸,sI0VDF65Cac
@Youginsgettingnoticed,1,G Block🩸,sI0VDF65Cac
@Youginsgettingnoticed,1,G Block🩸,sI0VDF65Cac
@Youginsgettingnoticed,1,G Block🩸,sI0VDF65Cac
@Youginsgettingnoticed,1,G Block🩸,sI0VDF65Cac
@Youginsgettingnoticed,1,G Block🩸,sI0VDF65Cac
@Youginsgettingnoticed,1,G Block🩸,sI0VDF65Cac
@Youginsgettingnoticed,1,G Block🩸,sI0VDF65Cac
@Youginsgettingnoticed,1,G Block🩸,sI0VDF65Cac
@Youginsgettingnoticed,1,G Block🩸,sI0VDF65Cac
@Youginsgettingnoticed,1,G Block🩸,sI0VDF65Cac
@Youginsgettingnoticed,1,G Block🩸,sI0VDF65Cac
@hunterclingan9469,4,"Bob Marley, Tom petty, Tupac, love the homage paid in this video",rseqmSGH7xk
@gglandshomeunixorg,2,"The last thang, I post on 🙅🏿‍♂",rseqmSGH7xk
@dj-dioneymattos2.046,2,"Tuda vez que alguém curtir meu comentário, voltarei aqui para escutar.. essa linda música ❤,,,😊❤.😎....😊❤😊😮",rseqmSGH7xk
@gglandshomeunixorg,1,"Please stop! I ionly see men in your videos, when your sensitivity envolves so much grace! You are here for more... So many Warriors are watching for you to shade them peace. We are the chronic'. We soon will come to SF, and meet. No flower at the bottom of the clif. Only a rock can be a portal to an idlised Island. I write to you. I know you share. My kids will always stand remembering the changes, the Legend.",rseqmSGH7xk
@hlclhdogdlxsto,1,🤍🤍🤍,rseqmSGH7xk
@REYES666-6,1,Uncle  🎉❤😅,rseqmSGH7xk
@REYES666-6,1,"I don't know how to write in English, sorry, I wanted to tell you that this music video should have been released more than 3 years ago; THANK YOU 🙂 😢",rseqmSGH7xk
@gopiyuvan2207,1,Quit the smoke bro,rseqmSGH7xk
@karenkaten9243,1,Wow this is art!,rseqmSGH7xk
