comment_author,comment_likes,comment_text,video_id
@moneybags733ify,0,"2 different cases...hes young 14 yrs and born into a unfortunate suitation, hes deserves to be punish but life with no parole is too harsh imo ..do yall think it was way to harsh??? He still a child his brain not fully developed...none of us thinks the same as we was 14 to 21 so 20 yrs later your morals,beliefs and thought process is a total flip....we all deserve 2nd chances depending on the circumstances of the crime...R.I.P Linda God has you your safe now 😇🩷Mrs. GRANDMOTHER MRS LINDA FRICKY😇🧡🩷💛💚🙏🏾",5X5V59MHXNk
@hedhunta3767,0,Best Judge ever,5X5V59MHXNk
@cheetahcat3940,0,"These kids think they're untouchable.  Remember Jamie fuller, the teen that unalived his gf and then threw her body in the river. (the movie No One Would Tell is based on that).  He was sentenced to life WITH the possibility of parole.  But guess what... He's still in jail because parole has to be granted.   He showed no remorse then and still has no remorse.  They're never going to let him out of there.",5X5V59MHXNk
@MrSeaboma0,0,"Coming in late here, from another country, there is something seriously wrong with many African Americans I have travelled the whole world and never seen this behaviour in any other nation.",5X5V59MHXNk
@naveedahmed9794,0,Agree with judge decision!,5X5V59MHXNk
@dylansoule1949,0,Kid sux,5X5V59MHXNk
@Mr.g622,0,"AGREE!!! 
This is absolutely horrific 😨
Adult crime adult time.",5X5V59MHXNk
@dylansoule1949,0,All day,5X5V59MHXNk
@deebee6658,0,The family seem just as bad,5X5V59MHXNk
@IanBailey-hd2um,0,"Really he should have kept his mouth shut and gone with the standard flow of the court, he could have meant ill be home soon but he's a juvenile he shouldn't be allowed  to speak without an appointed solicitor by his side,kids will be kids wherever they are it's unfortunate that the judge could have mis judged a very happy go lucky person,and should have asked is this normal for this teen to do this,then he could have found out if he was that way inclined,and if he was then the judge created a personal vendetta against him,and now he's doing life imprisonment. Maybe the judge may have realised this by now or he's living his life not knowing he made a mistake,why hasn't the American judicial system stepped in regarding this.?",5X5V59MHXNk
@matthewmcbride28,0,They targeted a white woman. Not a silver nissan.,5X5V59MHXNk
@englishmadcow7461,0,Parents should be held accountable too. Clearly something wrong.,5X5V59MHXNk
@chrisskywalker6079,0,"No, I do not agree, people have right for a 2nd chance. It should be 60 years in prison not life.",5X5V59MHXNk
@mR-dc4oq,0,Something is deeply wrong with that boy and his family. Maybe they are suffering from a lack of IQ and are functioning below normal. That seems like a plausible explanation for their inability to grasp the gravity of the crime.,5X5V59MHXNk
@bellaloladoll,0,The usual suspects. Maybe if the sentence is them being punished exactly in the manner of the crime they committed there would be less crime… people would fear and think twice!,5X5V59MHXNk
@lewissmith7083,0,Thank you,5X5V59MHXNk
@garrywells7745,0,Absolutely agree with the judge!!!!,5X5V59MHXNk
@viliamemasirewa9692,0,Yes i agreed with the judge,5X5V59MHXNk
@LarryYaw,0,Good on the judge!,5X5V59MHXNk
@murrayhiggins,0,Great sentence he is so uneducated,5X5V59MHXNk
@Robbie85291,1,I think this is the reporter that was surprised when the camera panned to her in that viral clip when she was looking at her crouch.  LOL!,M5o6Nq6jEdA
@jameshigginbottom3314,1,Boy Donald lies..wow..next thing you know he'll say for 30 years he's a cherokee.,M5o6Nq6jEdA
@StringTips-gr2ig,0,Finally we get to hear a native American take,M5o6Nq6jEdA
@dearbee2939,0,"Who is 🥜 that Warren has to educate 🤔 she shouldn't be on tv. Loud,  wrong, and proud. Giggling through her ignorance.",M5o6Nq6jEdA
@dearbee2939,0,Congress ain't working either,M5o6Nq6jEdA
@mlchemwolf,0,this is what happens when most of us don't know how our government work...ANYONE can con us..and WILL,M5o6Nq6jEdA
@gilbertgaspar2754,0,I am surprised CNBC hired her.,M5o6Nq6jEdA
