comment_author,comment_likes,comment_text,video_id
@muhammadhuzaifa7051,59057,"To be exact, it took him 4.54 secs",ntirH6UQ-wU
@ashekhar1976,13,Bro really did the kunigami power shot💀,ntirH6UQ-wU
@yousuf_Palestine,1,Omg that was so funny,ntirH6UQ-wU
@luqmanhafidh8914,1,How can it be? What's the distance did the ball travel? How powerful were his legs in kicking? I am completely speechless too.....,ntirH6UQ-wU
@jimmymoreton7537,1,"""Fine, I'll do it myself""",ntirH6UQ-wU
@David_Huffman,1,Isn't that like not allowed or something in soccer?,ntirH6UQ-wU
@cortexlite6082,1,Is this legal? I thought there was like offsides for this stuff,ntirH6UQ-wU
@rizz-k8b,0,"Kaiser impact 

NOT BLUE LOCK RIVALS
THE LITERAL ANIME BLUE LOCK",ntirH6UQ-wU
@ireanelim2745,0,Bro is bulit diff like Kaiser in blue lock,ntirH6UQ-wU
@princechiemerie8996,0,"The ball wasn't going to get to the post, the ball was redirected in the air😂 nice edit",ntirH6UQ-wU
@Valənor,0,"KAISER IMPACT irl duh, lol",ntirH6UQ-wU
@mimagreenfield1423,0,Props to the camera guy and goalie nice goal 👍👍,ntirH6UQ-wU
@tukakgaming4994,0,bro got rockets on his boots,ntirH6UQ-wU
@ob9312,0,"""same points"". So fucking American 😂",ntirH6UQ-wU
@alwilson8859,0,Blackman we are great,ntirH6UQ-wU
@nooralsabah7886,0,I did it once at my school❤😂😢😅😅😅😊,ntirH6UQ-wU
@basyarriyadi8369,0,KAISER IN IN REAL LIFE,ntirH6UQ-wU
@orancrandall8753,0,While not the same distance a guy in my gym class when I was in school did the same thing. gym coach called it a foul and didn’t count it as a point.,ntirH6UQ-wU
@abductedcow4458,0,Why are you lying,ntirH6UQ-wU
@yungoz68,0,That was right before half time I was there at the game,ntirH6UQ-wU
@Kountrykush420,1,"""Hustle up"" Fuck you dog lmao what a dawg",LDKYsg68Fho
@Žripper918,1,got hit in the forhead with a softball when i was in 3rd grade at the skatepark.  black eye and a lump on my head the size of the soft ball. ps soft balls are not soft and i kept riding my bmx bike that day. shoulda have been wearing a helmet and it wouldnt have happened,LDKYsg68Fho
@deenad3562,1,"🧔🏾: *You ok, kid?*
👦: *Yethh!*",LDKYsg68Fho
@kuloloia3163,0,Savage.i like it,LDKYsg68Fho
@Jmpmaster83,0,Got your tooth knocked out your good walk it off lmao,LDKYsg68Fho
@leonidasx3007,0,lol man went home and was shocked with what tooth fairy left under his pillow,LDKYsg68Fho
@HewhofightsWmonsters,0,I know he wanna cry too kid got some serious mental toughness at that age most likely insecure and rather stomach the pain then look weak crying over it I was like this but my ass would have screamed the highest loudest little girl scream if I was that age 😂😂😂,LDKYsg68Fho
@Eli-z6j,0,Sure he doesn’t believe in the tooth fairy any more sure hope he put that under his pillow that tooth should be high prices for that boy. Story will be told the rest of his life. Bad ass kid already.,LDKYsg68Fho
@ChosenByNaturalSelection,0,Damn isn’t there some mouth guard with the helmet tho?,LDKYsg68Fho
@Serrrgg,0,With the bat flip too,LDKYsg68Fho
@robertlawrence1041,0,"That looked like a teaching moment, why did no one rush the mound? I did not, did you see an apology from the mound",LDKYsg68Fho
@williamedwards8493,0,Crazy that kids has 11 on his jersey. I was about his age and lost 13 teeth from a baseball as a Catcher at a play at the plate.  Love this ❤,LDKYsg68Fho
@drew_peabawls13,0,He's probably a hockey player during the winter 😊,LDKYsg68Fho
@JamesEnlow-x7d,0,That pitch looked intentional,LDKYsg68Fho
@GoLDRU5H1,0,"If the kid was coached right, he wouldn't have been hit in the face.",LDKYsg68Fho
@onimeno121,0,Get that kid into boxing this summer😂😂😂,LDKYsg68Fho
@starcrafter13terran,0,"This happened to me once, was on purpose I rushed the mound.  Got in 3 punches before I was pulled off.  Always leave that option open",LDKYsg68Fho
@MrMortyBaby,0,That sounds like a dumb coach saying it’s all good walk it off,LDKYsg68Fho
@OneSlwEvoX,0,What a fuckin beast,LDKYsg68Fho
@Carol-r2x5n,0,"Boy spits out tooth thinking ""I've got plenty more"" !!",LDKYsg68Fho
@josemiguelrobledo756,105,¡Gracias!,y-eCcH7uaoM
@beverlycraven1739,1,He slid him wearing 'Slides dammmm 😮🤦🏽,y-eCcH7uaoM
@omegarussell4017,1,I think this young man has been watching money Mayweather 😂😂😂😂😂,y-eCcH7uaoM
@СергейЧеканов-д5о,0,😮😮😮🎉,y-eCcH7uaoM
@barliantabarlianta7883,0,"The ball is the only weapon he has.
No more, no less.",y-eCcH7uaoM
@pauleatwell5720,0,Usual day in the hood,y-eCcH7uaoM
@kingmu503,0,Mans juat throwing fist of fury 😮,y-eCcH7uaoM
@ReynaldoBeltre,0,"Es baloncesto oh boxeo, que alguien me explique.",y-eCcH7uaoM
@carlosvelazquez3359,0,Muy bien por ese golpe,y-eCcH7uaoM
@GOODGUY-o7w,0,Wow! 1st Round Knockout- Orthodox Stance,y-eCcH7uaoM
@Michellearista-o6r,0,buruan di coba ini sudah pasti mantap hanya di *SIDO88*,y-eCcH7uaoM
@steven10271,0,And that’s how we respond to those who don’t respect us in ARIZONA,y-eCcH7uaoM
@MardhiyahRisyad,0,buruan di coba ini sudah pasti mantap hanya di *SIDO88*,y-eCcH7uaoM
@mileshamblen9982,0,He missed that one punch and hit the wall lol.,y-eCcH7uaoM
@Martin-dd2ti,0,Pura violencia de la buena!!,y-eCcH7uaoM
@rosemaryjohnson2322,0,FAFO season is here😂❤❤❤❤❤,y-eCcH7uaoM
@joelalvarez1415,0,POR LUCIO SALIO🔥🔥🔥👍🏾💪🏽🇵🇷😎,y-eCcH7uaoM
@davidsebastian5486,0,Jesus loves you more than anything else or anyone else come to repentance before it's too late tomorrow is not promised I'm the way the truth and the life no man cometh too the except through me thus saith the sovereign lord repent turn from your Wicked ways!!!!! Judgement day is coming soon today is the day of salvation ✝️ 😊,y-eCcH7uaoM
@mikenadler3239,0,The guy that threw the ball is a real punk,y-eCcH7uaoM
@mikenadler3239,0,The guy that threw the ball is a real punk,y-eCcH7uaoM
@ThatOneBookNerd101,196,"My brother does track, and second to most recent home meet was insane. He missed the “set go” and still won. He was like 1.5 seconds behind everyone else in the beginning, yet won by .37 seconds. It was insane. He keeps winning the 400m and gets top 3 in the baton racing. I’m proud of him.",tPO6JNMOLas
@Kristy_Murasaki,1,"Am i missing something or do not people usually run 1200 m ... Cause we had to run that twice a year and get it in such an unbelievably short time (got a C, the worst grade they gave for it lol, my anemia almost killed me too)",tPO6JNMOLas
@CookiePirate69,1,"Technically, according to the Pythagorean theorem, if you’re running on the outside of the circle compared to the inside lining of the circle, the outside takes longer to traverse compared to the inside. That’s why a smaller circle has a smaller perimeter compared to a larger circle.",tPO6JNMOLas
@LuLulu-jw3zw,1,"400 mt with hurdles is diabolical, as an hurdler. Like, the lactic starts to hit at 200 mt for me...anyone like me?",tPO6JNMOLas
@GoldenMorningStables97331,1,"In the last 400m dash I did, there was headwind for the last 100 meters, which was terrible lol. My time was pretty good, but without the headwind, I would've gotten faster. I hope I get a pr in the next one I do, and I hope there is no wind lol.",tPO6JNMOLas
@NathanielMello-vw2nr,1,"I could internally feel the stress at the start of the race, I think that I have middle school PTSD.",tPO6JNMOLas
@DeaganR-c3d,0,im in middle school and i have to run an 800 metre run,tPO6JNMOLas
@bro0klynbaby_,0,In 8th grade I got 2nd place in 400meter race ;),tPO6JNMOLas
@JaxonJohnson-ex3bc,0,"I was there for that meet and I go to that school, it was all really good. It was my first time going to a track meet",tPO6JNMOLas
@Wan-q3l,0,There’s a kid in middle school that runs a 54 second 400 meter,tPO6JNMOLas
@Vawds09,0,"I have to run a 400m relay in 2 days, do you have a strategy i could use to absolutely cook?",tPO6JNMOLas
@Bobby-tj1hq,0,Lactic acid causing muscle soreness is a myth actually,tPO6JNMOLas
@muichiroTokito-zi3fj,0,"Brooo I just joined track a month ago, im in 7th grade, and I get like 1:15 😭",tPO6JNMOLas
@lunawolf4407,0,The fact that I ha a track meet today and ran the 200... And now I'm seeing this.,tPO6JNMOLas
@braxtongotgreatmuzic6338,0,i hate solo sports so much.,tPO6JNMOLas
@TheKCGamerEA,0,Lane 1!!!!!,tPO6JNMOLas
@ozprahl,0,I just ran a 400 in practice and got a 1m ~38 seconds and you destroyed me although im still in middle school,tPO6JNMOLas
@Cheetah_Spots,0,shii thats practically my 300h time gj man,tPO6JNMOLas
@PB00Y,0,Damn I run 1:11 😅,tPO6JNMOLas
@Inosukelover1618,0,"Today I just got my metal for winning the 4x4 with my team (it’s not really hard if you have the stamina I’m in middle school, but we still run on the high school tracks)",tPO6JNMOLas
