comment_author,comment_likes,comment_text,video_id
@JamesJackson-b2s,1,That part at 2:45 Instant goosebumps,ND35iZhfO5c
@EricVillanueva-s3g,1,Your consistency is inspiring—keep going,ND35iZhfO5c
@johnwas-w7c,1,I didn t expect to love this as much as I do,ND35iZhfO5c
@Kritacul,1,"Just so people know. Carrie has done a few Hymnal albums and they are as good if not better then this. Goes to show when you give glory to God, it turns out much better then regular music.",ND35iZhfO5c
@Anamikapandey-h1g,1,That transition at 3:12 was chefs kiss,ND35iZhfO5c
@RohiniYadav-kt5vo,0,Pure talent. No words,ND35iZhfO5c
@JamilaJamila-n3l,0,That part at 2:45 Instant goosebumps,ND35iZhfO5c
@VirginaCoulesdg,0,That transition at 3:12 was chefs kiss,ND35iZhfO5c
@nmanrahiman,0,Who else is here before this blows up,ND35iZhfO5c
@JudyKim-p8n,0,I can t stop smiling watching this,ND35iZhfO5c
@htrmxgyrcn,0,Can we all agree this creator deserves more recognition,ND35iZhfO5c
@SarahEva-b3d,0,This deserves way more views. Absolutely underrated,ND35iZhfO5c
@ceibamadidvenuscidaselbyjohst,0,I can t stop smiling watching this,ND35iZhfO5c
@baoussousissoko7914,0,"Fantastic video, really appreciate your effort!",ND35iZhfO5c
@PeterLusinde-q7j,0,The way you explained this is SO clear. Thank you,ND35iZhfO5c
@SabrinaWebster-x9x,0,The editing is top-tier. Seriously impressive,ND35iZhfO5c
@ThuNgọcNguyễn-b7h,0,Great video! Really enjoyed it.,ND35iZhfO5c
@AliSher-f6g3c,0,Really appreciate the insights in this video.,ND35iZhfO5c
@EinsyeCastren,0,That part at 2:45 Instant goosebumps,ND35iZhfO5c
@VotarAdhar,0,"Great tips, thanks for sharing!",ND35iZhfO5c
@edmanjoevaleroso7396,2,I think this is the best episodes in the world 🎉🎉🎉 well done boom,HoS7mffQ2YQ
@codewitharhanofficial,2,"Today I watched the whole episode, it was literally outstanding and crazy!! WELL DONE DAFUQBOOM!!!! The speakerman fight was insane and the opening, middle and end was also insane. This was worth watching it.",HoS7mffQ2YQ
@Kaelbepro,1,1:40 bro looking like serios💀,HoS7mffQ2YQ
@xHanugamerguy,1,Happy birthday boom,HoS7mffQ2YQ
@mahmudazaman8025,1,"*this isn't skibidi toilet anymore*




*this is called*









*Skibidi X*",HoS7mffQ2YQ
@DarkShadowGG10,1,wow episode perfect,HoS7mffQ2YQ
@ZeenathMuzaina,1,Speaker women ❌ ninja women,HoS7mffQ2YQ
@александрдуров-г2э,1,Что с графикой,HoS7mffQ2YQ
@SHARKY_009,1,waiting months for this is worth it?!?,HoS7mffQ2YQ
@GianCarlOraa-p9r,1,ABSOULTE CINEMA 🤚😐🤚,HoS7mffQ2YQ
@Jakerion-p2c,1,Finally it's here it is the way now,HoS7mffQ2YQ
@JamesEldrick,1,Absolute cinema ✋🗿✋,HoS7mffQ2YQ
@8MAKIMORU8,1,Where is the titan cameraman,HoS7mffQ2YQ
@meftunyusifov7764,1,3:33 wtf,HoS7mffQ2YQ
@주현-f9v,0,"""KING IS BACK""",HoS7mffQ2YQ
@bbbybbkk,0,HAPPY BIRTHDAY,HoS7mffQ2YQ
@Огурчик_соленный,0,10:53 is karlik titan speaker man?,HoS7mffQ2YQ
@ILOVECATS-o2f,0,ITS FINALLY OUT YIPPEE i moved out of my house before this released,HoS7mffQ2YQ
@chengayduenas3549,0,Les goo gman toilet and others joined forces of the alliance!,HoS7mffQ2YQ
@toazurreza3047,0,🎉🎉🎉;)!!!×_×haahhahhahahahahha,HoS7mffQ2YQ
@briarrose7016,2,"Dear Zach Creggar, thank you for making a movie with Josh Brolin and Julia Garner. They're two of my most favorite actors. I met you and Trevor back in the day for WKUK and knew you'd go far. Barbarian was awesome, Companion was pretty good, I have crazy high hopes for this!",I3qtHlROEuc
@nurafarafy,1,Who else is here before this blows up,I3qtHlROEuc
@HhMm-n8b,1,Algorithm finally did something right,I3qtHlROEuc
@Wheretheportlandorarealadiesat,1,Somebody said in we watched a movie comment section that this would be a cool idea for a pied piper movie then that made me think what If this is a pied piper tyme movie ? 😮that would be so creepy and disturbing and rip those kids yikes,I3qtHlROEuc
@decin0695,1,I'm so hyped but I probably won't watch it lol,I3qtHlROEuc
@Desolane,1,"I saw this teaser and I literally shidded and fardded myself to death in fear and terror, my skin peeling back from the slow burn chilling subverted expectation experience!


Half the comment section looks like this and they're all totally normal people and not bots/paid, wink wink.",I3qtHlROEuc
@quedfeed9814,0,Isnt this that video from a few days ago that people thoughtwas real?,I3qtHlROEuc
@Eph_Wilson,0,T-Pose to assert dominance.,I3qtHlROEuc
@sankhadeepburman9709,0,What people dont understand that. This is Naruto Run.,I3qtHlROEuc
@tsaikreiterynorvah,0,Pure talent. No words,I3qtHlROEuc
@mao-s6c,0,That part at 2:45 Instant goosebumps,I3qtHlROEuc
@SangHendrix,0,The only trailer of a horror movie that I find creepy.,I3qtHlROEuc
@SemehOuni,0,The way you explained this is SO clear. Thank you,I3qtHlROEuc
@macely,0,just make your movie a bit bright lol,I3qtHlROEuc
@TerryBoothby-u8g,0,"Came for the thumbnail, stayed for the vibes",I3qtHlROEuc
@adamalhindi793,0,The editing is top-tier. Seriously impressive,I3qtHlROEuc
@t_u_n,0,Scariest abortion add ever...,I3qtHlROEuc
@YếnNhiTạ-f8b,0,I learned more in 10 minutes than hours of Googling,I3qtHlROEuc
@FsOnline-e7f,0,The editing is top-tier. Seriously impressive,I3qtHlROEuc
@LvinHilal,0,Whats happening with??????????,I3qtHlROEuc
